phrase,prompt
pain I in a my abdomen. have sharp,Internal pain
When I remember her I down,Emotional pain
['i feel tjar is grWa% pain in my left sUoHld3r'],Shoulder pain
iodine Washington kick inch the head playing soccer stopping_point night.,Injury from sports
"redness, swelling, and difficulty walking",Knee pain
on lot pimples a bother are There me my some that face,Acne
I hate my acne.,Acne
I have an open wound in my arm,Open wound
iodine feel dizzy after make angstrom muscular effort.,Feeling dizzy
infections Surgical wound,Infected wound
"hard stand up, and I'm moving very slowly",Body feels weak
have pain a I internal,Internal pain
It's hard to see see things,Blurry vision
"[""My Meadt jurRs whi/$ I ' m sad, why?""]",Emotional pain
I have shooting pains up and down my back.,Back pain
He was discovered to have an open wound.,Open wound
I can't walk well I have an ache in my foot,Foot ache
When my thousand father die iodine felt angstrom difficult emotional pain,Emotional pain
i have a problem rich_person in seeing objects it is too difficult to see,Blurry vision
I have pain in my chest that saddens me.,Heart hurts
I enjoy running in every morning. park the inch,out of context
it. Maybe I it's broken. turn and hurts can't My foot,Foot ache
iodine feel angstrom sharp pain inch the stomach after eating,Stomach ache
My cough is very heavy and I have mucus.,Cough
['I VeFl Piie the tooJ is spinning'],Feeling dizzy
['I hadF a ZNarp pain in my aNvom4n.'],Internal pain
learning how get_down paint. recently to,out of context
I pimples on my back.,Acne
iodine can't walk because iodine rich_person angstrom great foot ache,Foot ache
['I Bee: cold qheJ the Gighh comes'],Feeling cold
I pain stomach. lower have a my in sharp,Stomach ache
My chest hurts when I go to take a breath,Hard to breath
i have pain at my left leg.,Muscle pain
got a divorce last year and just can't stop on how to revenge on my husband.,Emotional pain
I feel a great amount of pressure of my head.,Head ache
blue. is My be color favorite,out of context
"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound
My body feels weak although weak I take my vitamins regularly.,Body feels weak
The pain in my ear is unbearable.,Ear ache
a floor. have fell I pain on I since back the,Back pain
could because my knee of I not pain exercise,Knee pain
knees my soreness when a feel walk in I I,Joint pain
my I a tightness chest feel in,Hard to breath
The severe severe pain in the stomach I feel,Stomach ache
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound
['I desl shoulder pain at iBtercalz of R*me.'],Shoulder pain
iodine cannot get warm no matter how much iodine wrap up Oregon how high iodine put_option the heating on,Feeling cold
i hit the ground when trying to shoot a basketball,Injury from sports
bend can't so to back tie shoelaces. much hurts My my down I,Back pain
My is when falling it. hair am combing I,Hair falling out
"where my on pain chest, feel the heart a side is of left my I",Heart hurts
cut my hand a couple days and although I didn't think I needed stitches it hasn't up.,Open wound
"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",Injury from sports
The library be angstrom lull topographic_point to study.,out of context
ear me badly my hurts,Ear ache
iodine hide murder my motorcycle and since then iodine have difficult knee pain,Knee pain
"[""I can ' t rwallH jump on my left fok$ becWuXR my triple RrXctur$ of the aMk<e left me wu%h nefSrejdjng pains.""]",Foot ache
The knee feel like information_technology corrode and iodine suddenly cannot bend information_technology anymore.,Knee pain
I've be over my cold for week merely still cough every day.,Cough
good I can't work good I have a pain in my knee,Knee pain
['My naLr is falpJnF out in n&nch3s.'],Hair falling out
"When I walk up a flight of stairs, right knee hurts.",Knee pain
mend I hit myself and the would doesn't want to heal,Open wound
I take a deep breath I start coughing,Cough
I feel tightness my chest,Hard to breath
"My body feel weak although iodine eat angstrom lot, why?",Body feels weak
"My husband left me for another woman, my heart hurts so badly the point I can't eat or sleep.",Heart hurts
Every time it rains I get hives on my belly and sides.,Skin issue
My knee injury when iodine play squash,Knee pain
I have describe pain an I cannot internal,Internal pain
['My M^sbaJd has a sooy on his lip thA^ he thoJgJ was Vild coFe but now it has bF*ken open and lWsks fluid all day.'],Infected wound
The traffic Washington truly bad this,out of context
I toppled over while jumping to catch the ball.,Injury from sports
Sharp pain and heavy breathing,Internal pain
"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold
"is wound won't believe me, a You but on infected cut paper seriously. from my I hand this didn't take",Infected wound
"I have a in winter, or when feels why?",Foot ache
In the morning my respiration is loud.,Hard to breath
['hwxvy breath with fSt8gke'],Emotional pain
library a quiet place to study.,out of context
iodine rich_person disterbance inch my emotion,Emotional pain
"My mind feels very sad, as if it hurts. The way I feel in my head is awful and when I think about my break-up, about I cry with sadness.",Emotional pain
The joints in my fingers are painful in the morning.,Joint pain
"I feel pain in my legs muscles after I yesterday, I some pain killers but it doesn't help.",Muscle pain
angstrom awful fall inch hair,Hair falling out
['My f&ght shoulder clicks wh$H I m(v4 my arm.'],Shoulder pain
I hate my acne.,Acne
"[""My flLt tu5ts and I can ' t $urM it. MaGge it ' s bEoLen.""]",Foot ache
surgical wound infection,Infected wound
['My showWf drXon is full of hair Dvert time.'],Hair falling out
['Have sRveDe cold and fo tgh'],Cough
My knees swell right below the knee cap and hurt when I put weight right on them.,Knee pain
while the back injured My gym was got i lifting at,Injury from sports
There are lots of hairs on my are pillow in the morning.,Hair falling out
When I'm too high I start to feel dizzy,Feeling dizzy
The store had a big have sale on,out of context
I stand up too vision is,Blurry vision
"My body feels weak after my first day body in the gym, why?",Body feels weak
"My skin color on my back is know red, I don't know why.",Skin issue
"iodine feel like iodine just can't header anymore, iodine feel overwhelm and like iodine just can't get angstrom break.",Emotional pain
['I fefi pain in my rLnht shoildSD after the tWMnis match.'],Injury from sports
I've been sad feeling very sad lately,Emotional pain
"sit to even I breath of struggle but after I down. going to be breath up stairs, I used dozen when out of now a",Hard to breath
My foot hurts me a lot of playing football,Foot ache
walk I lot I a heart when feel pain,Heart hurts
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
i feel pain my stomach,Stomach ache
every morning when iodine aftermath up my neck feel like iodine sleep on inch wrong.,Muscle pain
['I get i j(lnt paJb wbWn i try to fejd my leg or my arm'],Joint pain
My never out and clears breaks chest up. acne,Acne
love to I I when get my lower back twinge garden but over. in I a terrible lean,Back pain
['i have a g4eAt pw9n in my foot liiS thrombing pain with EslSxing my pain relw*f'],Foot ache
I feel a sharp in my head when I think,Head ache
my I an arm wound have in open,Open wound
my shoulder is hurting me,Shoulder pain
I can't see the sign I have a blurry vision,Blurry vision
I complain alot with my neck pain and i really need to be better,Neck pain
My skin is itching.,Skin issue
my temperature dropped and my body get synosed drop,Feeling cold
"['I have a bour%y vision dinfe I #o.e up $h(s morn8Bh, what could be the EeQson?']",Blurry vision
"skin in or opening laceration, the rupture",Open wound
i a hard pain in my stomach,Stomach ache
iodine feel pain inch my body,Internal pain
['is my cut (nf3ctFd or j tAt heQliJR?'],Infected wound
My infect wound cause angstrom fever,Infected wound
glass interrupt and wound my leg badly the wound be sol wide,Open wound
"I can't hear of my properly, I feel there is something in it causing irritation.",Ear ache
My son had a root canal and have the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
iodine feel faint when iodine base up,Feeling dizzy
"My husband left me for another woman, my heart hurts so badly to Oregon the point I can't eat or sleep.",Heart hurts
I feel a pain in my back when I sit on a chair for long.,Back pain
I have blurry vision my head was hit,Blurry vision
Feels like there are pins and needles sticking in my joints,Joint pain
When I'm tired I feel my head heavy,Head ache
My knees hurt so bad to walk that I iodine stay sitting more than I should.,Knee pain
I must see a doctor i have an open wound,Open wound
"iodine feel like iodine just can't header anymore, iodine feel overwhelm and like iodine just can't get angstrom break.",Emotional pain
there is acne on my face,Acne
The joint inch my finger are painful inch the morning.,Joint pain
['I hzde the iJor3ssion of having no w%rengtu in my vodt'],Body feels weak
When iodine go to sleep iodine americium feeling cold,Feeling cold
My heart is pumping fast and I'm having a hard time to breath.,Hard to breath
My nicked his neck with and that spot has become inflamed and looks like it is,Infected wound
['I feel back paKh when I Darrg heaGj things'],Back pain
stomach it in pain have colon my my I something cutting and like,Stomach ache
cold feeling I up wake at night,Feeling cold
inch I fell a stiffness in my elbows and shoulders,Joint pain
"[""Shfn I yrued to ams1er the phine ca:P I coInd tbaF I can ' t hear the voice of the s0eajRr""]",Ear ache
['i fe#i pajJ in my neck'],Neck pain
When I play sports  I have some burning sensation in my spine,Back pain
"iodine can't hear out of my ear properly, iodine feel like there be something inch information_technology causing irritation.",Ear ache
"['my cbc report iGd*cXte 10 hb, i fe@< yir4d of lOtGle wo4u.']",Body feels weak
feel great pressure in my chest,Hard to breath
I have a problem in the expiration because i have abronchial asthma iodine,Hard to breath
"[""I ' m not nooc i fe2k diSzt""]",Feeling dizzy
It itches inside my information_technology ears.,Ear ache
iodine feel great pain inch my foot after playing one of the sport game,Injury from sports
It I arm hurts bent my when,Joint pain
i cant breathe,Cough
upset stomach bloating after full and and big My feels meals.,Stomach ache
when feel dizzy I sudden make i movements,Feeling dizzy
feel increased heart rate with,Heart hurts
i can't ride my at night because i vision.,Blurry vision
"i match, diagnosed Cruciate was was ligament during with injured i football",Injury from sports
